Loan-ID,Gender,Married,Dependents,Education,Self_Employed,ApplicationIncome,CoapplicationIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property Area,Loan Status
1280,Male,Yes,3+,Not Graduate,Yes,3333,2166,13,360,1,Semiurban,Y
1281,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
1282,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
1283,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
1284,Male,Yes,0,Graduate,No,6000,2250,265,360,1,Semiurban,N
1285,Male,Yes,1,Graduate,No,3988,0,5,240,1,Urban,Y
1286,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
1287,Male,Yes,2,Not Graduate,No,3333,2000,99,360,1,Semiurban,Y
1288,Male,Yes,0,Graduate,No,2500,2118,14,360,1,Semiurban,Y
1289,Male,No,0,Graduate,No,8566,0,21,360,1,Urban,Y
1390,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y
1391,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
1392,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
1393,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
1394,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
1395,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
1396,Male,No,0,Graduate,No,6782,0,,360,1,Urban,N
1397,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
1398,Male,Yes,0,Graduate,No,1977,997,5,360,1,Semiurban,Y
1399,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
1301,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
1302,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
1302,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
1303,Male,Yes,1,Graduate,No,13650,0,,360,1,Urban,Y
1304,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y
1305,Male,No,1,Graduate,No,3816,754,16,360,1,Urban,Y
1306,Male,Yes,1,Graduate,No,3052,1030,1,360,1,Urban,Y
1307,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
1308,Male,No,0,Not Graduate,No,7333,0,12,360,1,Rural,N
1309,Male,Yes,2,Graduate,No,3800,3600,216,360,,Urban,N
1310,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
1311,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
1312,Female,Yes,0,Graduate,No,2929,2333,139,360,1,Semiurban,Y
1313,Male,Yes,0,Not Graduate,No,3572,4114,152,,,Rural,N
1314,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y
1315,Male,No,0,Graduate,No,5050,0,118,360,1,Semiurban,Y
1416,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y
1417,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
1418,Male,Yes,1,Graduate,No,2214,1398,85,360,1,Urban,Y
1419,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N
1420,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
1421,Male,Yes,1,Graduate,No,5667,2667,18,360,1,Rural,Y
1422,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
1423,Female,No,0,Graduate,No,2137,8980,137,360,,Semiurban,Y
1424,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
1425,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
1426,Female,No,0,Graduate,No,3692,0,93,360,1,Rural,Y
1427,Female,Yes,3+,Graduate,No,23803,0,37,360,1,Rural,Y
1428,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y
1429,Male,Yes,1,Graduate,Yes,10513,3850,16,180,,Urban,N
1430,Male,Yes,0,Graduate,No,6080,2569,182,360,1,Rural,N
1431,Male,No,0,Graduate,Yes,20166,0,65,480,1,Urban,Y
1432,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
1433,Male,No,0,Graduate,No,2718,0,7,360,1,Semiurban,Y
1434,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
1435,Male,No,0,Graduate,No,4895,0,12,360,1,Semiurban,Y
1436,Male,Yes,3+,Graduate,No,4000,7750,29,360,1,Semiurban,N
1437,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
1438,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
1439,Male,No,0,Graduate,No,14999,0,242,360,,Semiurban,N
1440,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
1441,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N
1442,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
1543,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
1544,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
1545,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
1546,Female,Yes,0,Graduate,No,2330,4486,1,360,1,Semiurban,Y
1547,Female,Yes,2,Graduate,No,14866,0,7,360,1,Urban,Y
1548,Male,Yes,1,Graduate,No,1538,1425,3,360,1,Urban,Y
1549,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
1550,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
1551,Male,No,0,Graduate,No,6277,0,118,360,,Rural,N
1552,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
1553,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
1554,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
1555,Male,No,0,Graduate,No,3254,0,5,360,1,Urban,Y
1556,Male,Yes,3+,Graduate,No,39999,0,6,180,,Semiurban,Y
1557,Male,Yes,1,Graduate,No,6000,0,16,360,1,Rural,Y
1558,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
1559,Male,No,0,Graduate,No,2980,2083,12,360,1,Rural,Y
1560,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
1561,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
1562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
1563,Male,Yes,1,Graduate,No,3089,1280,121,360,,Semiurban,N
1564,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
1565,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
1566,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y
1567,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
1568,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
1569,Male,No,0,Graduate,No,2237,0,63,480,,Semiurban,N
1570,Male,Yes,2,Graduate,No,8000,0,2,360,1,Semiurban,Y
1571,Male,Yes,0,Not Graduate,No,1820,1769,95,360,1,Rural,Y
1572,Female,Yes,3+,Graduate,No,51763,0,7,300,1,Urban,Y
1573,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N
1574,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
1675,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
1676,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
1677,Male,Yes,2,Graduate,No,2045,1619,11,360,1,Rural,Y
1678,Male,Yes,3+,Graduate,No,5516,11300,495,360,,Semiurban,N
1679,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
1680,Male,No,0,Not Graduate,No,2333,1451,12,480,,Urban,N
1681,Male,Yes,1,Graduate,No,6400,7250,18,360,,Urban,N
1682,Male,No,0,Graduate,No,1916,5063,67,360,1,Rural,N
1683,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
1684,Male,Yes,1,Graduate,No,33846,0,26,360,1,Semiurban,N
1685,Female,Yes,0,Graduate,No,3625,0,18,360,1,Semiurban,Y
1686,Male,Yes,0,Graduate,Yes,39147,4750,12,360,1,Semiurban,Y
1687,Male,Yes,1,Graduate,Yes,2178,0,66,300,,Rural,N
1688,Male,Yes,0,Graduate,No,2383,2138,58,360,1,Rural,Y
1689,Female,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
1690,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
1691,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
1692,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
1693,Male,Yes,0,Not Graduate,No,6033,0,16,360,1,Urban,N
1694,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
1695,Male,No,0,Graduate,No,4191,0,12,360,1,Rural,Y
1696,Male,Yes,1,Graduate,No,3125,2583,17,360,1,Semiurban,N
1697,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
1698,Female,No,0,Not Graduate,No,1907,2365,12,,1,Urban,Y
1699,Female,Yes,0,Graduate,No,3416,2816,113,360,1,Semiurban,Y
1600,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
1601,Male,Yes,1,Not Graduate,No,2600,2500,9,360,1,Semiurban,Y
1602,Male,No,2,Graduate,No,4923,0,166,360,,Semiurban,Y
1603,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N
1604,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
1605,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
1606,Female,No,0,Not Graduate,No,4408,0,12,360,1,Semiurban,Y
1607,Female,No,0,Graduate,No,3244,0,8,360,1,Urban,Y
1608,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
1609,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
1710,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
1711,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
1712,Male,Yes,3+,Graduate,No,3430,1250,128,360,,Semiurban,N
1713,Male,Yes,1,Graduate,Yes,7787,0,24,360,1,Urban,Y
1714,Male,Yes,3+,Not Graduate,Yes,5703,0,13,360,1,Rural,Y
1715,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
1716,Male,Yes,3+,Not Graduate,No,3850,983,1,360,1,Semiurban,Y
1717,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
1718,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
1719,Male,Yes,2,Graduate,No,5000,0,72,360,,Semiurban,N
1720,Female,Yes,2,Graduate,No,4283,2383,127,360,1,Semiurban,Y
1721,Male,Yes,0,Graduate,No,2221,0,6,360,,Urban,N
1722,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
1723,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
1724,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y
1725,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
1726,Male,Yes,0,Graduate,No,3250,0,17,360,1,Rural,N
1727,Male,Yes,1,Not Graduate,Yes,4735,0,138,360,1,Urban,N
1728,Male,Yes,2,Graduate,No,6250,1695,21,360,1,Semiurban,Y
1729,Male,No,1,Graduate,No,4758,0,158,480,1,Semiurban,Y
1730,Male,No,0,Graduate,Yes,6400,0,2,360,1,Rural,Y
1731,Male,Yes,1,Graduate,No,2491,2054,14,360,1,Semiurban,Y
1732,Male,Yes,0,Graduate,No,3716,0,42,180,1,Rural,Y
1733,Male,No,0,Not Graduate,No,3189,2598,12,,1,Rural,Y
1734,Female,No,0,Graduate,No,8333,0,28,360,1,Semiurban,Y
1735,Male,Yes,1,Graduate,No,3155,1779,14,360,1,Semiurban,Y
1736,Male,Yes,1,Graduate,No,5500,1260,17,360,1,Rural,Y
1737,Male,Yes,0,Graduate,No,5746,0,255,360,1,Urban,N
1738,Female,No,0,Graduate,Yes,3463,0,122,360,1,Urban,Y
1739,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
1740,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
1741,Male,Yes,2,Graduate,No,5819,5000,12,360,1,Rural,Y
1842,Male,Yes,1,Not Graduate,No,2510,1983,14,180,1,Urban,N
1843,Male,No,0,Graduate,No,2965,5701,155,600,1,Urban,Y
1844,Male,Yes,2,Graduate,Yes,6250,1300,18,360,1,Rural,Y
1845,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
1846,Male,No,0,Graduate,Yes,6050,4333,12,180,1,Urban,N
1847,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Y
1848,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
1849,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y
1850,Male,Yes,0,Graduate,No,1809,1868,9,360,1,Urban,Y
1851,Male,Yes,0,Not Graduate,No,1668,3890,21,360,,Semiurban,N
1852,Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
1853,Male,No,0,Not Graduate,Yes,2583,2167,14,360,1,Rural,Y
1854,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
1855,Male,No,0,Graduate,Yes,16250,0,192,360,,Urban,N
1856,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Y
1857,Male,No,0,Not Graduate,No,6045,0,115,360,,Rural,N
1858,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N
1859,Male,Yes,0,Graduate,No,14683,2100,34,360,1,Rural,N
1860,Male,Yes,3+,Not Graduate,No,4931,0,128,360,1,Semiurban,N
1861,Male,Yes,1,Graduate,No,6083,4250,33,360,1,Urban,Y
1862,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
1863,Female,No,1,Graduate,No,3481,0,155,360,1,Semiurban,N
1864,Female,No,0,Graduate,No,7200,0,12,360,1,Rural,Y
1865,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
1866,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y
18767,Male,Yes,2,Graduate,No,4708,1387,15,360,1,Semiurban,Y
1868,Male,Yes,3+,Graduate,No,4333,1811,16,360,,Urban,Y
1869,Female,No,0,Graduate,No,3418,0,135,360,1,Rural,N
1870,Female,No,1,Graduate,No,2876,1560,9,360,1,Urban,Y
1871,Female,No,0,Graduate,No,3237,0,3,360,1,Urban,Y
1872,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Y
1873,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,Y
1874,Male,Yes,0,Graduate,No,2620,2223,15,360,1,Semiurban,Y
1875,Male,Yes,2,Graduate,No,3900,0,9,360,1,Semiurban,Y
1976,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
1977,Male,Yes,0,Graduate,No,3993,3274,27,360,1,Semiurban,Y
1978,Male,Yes,0,Graduate,No,3103,1300,8,360,1,Urban,Y
1979,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,Y
1908,Female,Yes,0,Not Graduate,No,4100,0,124,360,1,Rural,Y
1981,Male,No,1,Not Graduate,Yes,4053,2426,158,360,,Urban,N
1982,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y
1983,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
1984,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Y
1985,Male,Yes,0,Graduate,No,20667,0,,360,1,Rural,N
1986,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Y
1987,Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N
1988,Male,Yes,0,Graduate,No,3704,2000,12,360,1,Rural,Y
1989,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
1990,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y
1991,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y
1992,Male,Yes,2,Graduate,No,4400,0,127,360,,Semiurban,N
1993,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y
1994,Female,No,1,Graduate,No,5417,0,143,480,,Urban,N
1995,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Y
1996,Male,Yes,3+,Graduate,No,4416,1250,11,360,1,Urban,Y
1997,Male,Yes,1,Graduate,No,6875,0,2,360,1,Semiurban,Y
1998,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
1999,Female,No,0,Graduate,No,5000,2541,151,480,1,Rural,N
1900,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
1901,Male,Yes,0,Not Graduate,No,1800,2934,93,360,,Urban,N
1902,Male,Yes,1,Not Graduate,No,2875,1750,15,360,1,Semiurban,Y
1903,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
1904,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y
1905,Male,No,0,Graduate,No,4000,2500,14,360,1,Rural,Y
1906,Male,No,0,Not Graduate,No,2000,0,,360,1,Urban,N
1907,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Y
1908,Female,No,0,Graduate,No,2400,1863,14,360,,Urban,N
1909,Male,No,0,Graduate,No,20233,0,48,360,1,Rural,N
1910,Male,Yes,2,Not Graduate,No,7667,0,185,360,1,Rural,Y
2011,Female,No,0,Graduate,No,2917,0,84,360,1,Semiurban,Y
2012,Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Y
2013,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y
2014,Male,Yes,2,Graduate,Yes,5746,0,144,84,1,Rural,Y
2015,Female,Yes,0,Graduate,No,2473,1843,159,360,1,Rural,N
2016,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Y
2017,Male,Yes,2,Graduate,No,3717,0,12,360,1,Semiurban,Y
2018,Male,Yes,0,Graduate,No,2058,2134,88,360,1,Urban,Y
2019,Female,No,1,Graduate,No,3541,0,112,360,1,Semiurban,Y
2020,Male,Yes,1,Graduate,Yes,10000,0,155,360,1,Rural,N
2021,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Y
2022,Male,Yes,3+,Graduate,No,4342,189,124,360,1,Semiurban,Y
2023,Male,Yes,2,Not Graduate,No,3601,1590,,360,1,Rural,Y
2024,Female,No,0,Graduate,No,3166,2985,132,360,1,Rural,Y
2025,Male,Yes,3+,Graduate,No,15000,0,3,360,1,Rural,Y
2026,Male,Yes,1,Graduate,Yes,8666,4983,376,360,,Rural,N
2027,Male,No,0,Graduate,No,4917,0,13,360,,Rural,Y
2028,Male,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,Y
2029,Female,Yes,0,Graduate,No,4333,2451,11,360,1,Urban,N
2030,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
2031,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
2032,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
2133,Male,No,1,Graduate,No,2833,0,71,360,1,Urban,Y
2134,Male,Yes,0,Graduate,No,63337,0,49,180,1,Urban,Y
2135,Female,Yes,1,Graduate,Yes,9833,1833,182,180,1,Urban,Y
2136,Male,Yes,1,Graduate,Yes,5503,4490,7,,1,Semiurban,Y
2137,Male,Yes,1,Graduate,No,5250,688,16,360,1,Rural,Y
2138,Male,Yes,2,Graduate,Yes,2500,4600,176,360,1,Rural,Y
2139,Female,No,3+,Not Graduate,No,1830,0,,360,,Urban,N
2140,Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Y
2141,Male,Yes,3+,Not Graduate,No,2647,1587,173,360,1,Rural,N
2142,Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
2143,Male,Yes,1,Not Graduate,No,4554,1229,158,360,1,Urban,Y
2144,Male,Yes,3+,Not Graduate,No,3173,0,74,360,1,Semiurban,Y
2145,Male,Yes,2,Graduate,No,2583,2330,125,360,1,Rural,Y
2146,Male,Yes,0,Graduate,No,2499,2458,16,360,1,Semiurban,Y
2147,Male,Yes,1,Not Graduate,No,3523,3230,152,360,,Rural,N
2148,Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Y
2149,Male,Yes,0,Graduate,No,6333,4583,259,360,1,Semiurban,Y
2150,Male,Yes,0,Graduate,No,2625,6250,187,360,1,Rural,Y
2151,Male,Yes,0,Graduate,No,9083,0,228,360,1,Semiurban,Y
2152,Male,No,0,Graduate,No,8750,4167,38,360,1,Rural,N
2153,Male,Yes,3+,Graduate,No,2666,2083,95,360,1,Rural,Y
2154,Female,Yes,0,Graduate,Yes,5500,0,15,360,,Rural,N
2155,Female,Yes,0,Graduate,No,2423,505,13,360,1,Semiurban,Y
2156,Female,No,1,Graduate,No,3813,0,116,180,1,Urban,Y
2157,Male,Yes,2,Graduate,No,8333,3167,165,360,1,Rural,Y
2158,Male,Yes,1,Graduate,No,3875,0,67,360,1,Urban,N
2159,Male,Yes,0,Not Graduate,No,3000,1666,1,480,,Urban,N
2160,Male,Yes,3+,Graduate,No,5167,3167,2,360,1,Semiurban,Y
2161,Female,No,1,Graduate,No,4723,0,81,360,1,Semiurban,N
2162,Male,Yes,2,Graduate,No,5000,3667,236,360,1,Semiurban,Y
2163,Male,Yes,0,Graduate,No,4750,2333,13,360,1,Urban,Y
2164,Male,Yes,0,Graduate,No,3013,3033,95,300,1,Urban,Y
2165,Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,Y
2166,Male,No,0,Not Graduate,No,6216,0,133,360,1,Rural,N
2167,Male,No,0,Graduate,No,2500,0,96,480,1,Semiurban,N
